"7d. U.S. Regional Electricity Generation, Electric Power Sector"
"https://www.eia.gov/outlooks/steo/data/browser/#/?v=22&f=Q&s=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&id=&maptype=0&ctype=linechart"
"Tue Apr 04 2023 16:27:02 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"remove","","map","linechart","units","source key","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_FL",1.34,1.33,1.25,1.27,1.47,1.69,1.59,1.37,1.85,2.33,2.23,1.87,2.35,3.09,2.85,2.53,2.90,3.75,3.50,2.70,3.82,5.32,4.46,3.48,5.10,6.81,5.68,4.35
"Other energy sources ","Electric power sector generation by other energy sources: Florida (FRCC)",1,1,"billion kilowatthours","XXEPGEN_FL",0.95,0.80,1.13,0.68,0.83,0.86,0.78,0.69,0.89,0.78,0.91,0.69,0.73,0.69,0.62,0.54,0.70,0.57,0.70,0.67,0.73,0.62,0.72,0.60,0.76,0.64,0.70,0.61
"Total generation","Total electric power sector net generation: Florida (FRCC)",1,1,"billion kilowatthours","TOEPGEN_FL",50.40,58.00,67.29,54.49,49.40,60.46,68.05,54.20,52.60,60.14,69.33,55.76,50.62,60.70,69.25,53.21,53.24,64.23,72.69,56.84,51.20,58.27,72.37,55.16,59.69,67.60,79.20,59.73
"Net energy for load ","Net energy for load: Florida (FRCC)",1,1,"billion kilowatthours","ELLOAD_FL",50.59,59.21,69.05,55.04,49.53,54.97,68.17,54.41,52.51,63.05,72.32,56.74,51.56,63.84,68.77,53.40,53.21,66.45,74.11,58.48,53.89,61.82,69.66,54.34,52.34,61.36,69.87,54.64
"Midcontinent ISO (MISO)","Midcontinent ISO (MISO)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","NGEPGEN_MW",35.47,42.57,48.17,31.16,37.19,42.22,54.78,42.74,46.22,45.57,52.59,38.49,35.40,40.84,48.04,43.19,41.51,47.41,59.74,44.00,46.32,52.46,59.31,47.10,42.53,49.92,55.56,44.13
"Coal","Electric power sector generation by coal: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","CLEPGEN_MW",82.58,77.80,93.47,83.89,77.28,61.16,76.13,61.31,51.19,41.06,68.43,57.70,69.74,60.11,83.25,54.60,64.46,54.06,68.64,53.42,52.25,50.36,62.89,45.72,52.81,42.57,59.66,46.75
"Nuclear","Electric power sector generation by nuclear: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","NUEPGEN_MW",26.42,22.90,25.70,23.27,25.25,23.20,27.10,26.70,26.62,22.86,24.39,21.24,23.62,22.55,25.16,24.36,23.81,19.61,24.28,23.66,23.40,21.75,24.50,21.00,23.27,22.48,23.88,21.58
"Conventional hydropower","Electric power sector generation by conventional hydropower: Midcontinent ISO (MISO)",1,1,"billion kilowatthours","HVEPGEN_MW",2.13,2.38,2.18,2.49,2.94,3.10,2.51,2.37,2.93,3.15,2.60,2.46,2.49,2.90,2.48,2.26,2.85,2.73,2.47,2.30,2.74,2.97,2.39,2.21,2.52,2.90,2.37,2.21
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_MW",17.35,14.27,11.13,15.67,16.64,16.06,12.65,19.09,19.80,19.59,16.12,23.67,23.27,22.75,18.52,27.27,32.04,28.74,20.32,31.23,33.36,30.64,22.33,33.70,35.65,32.90,25.04,36.02
